template_id,template,variables,tone,source
bio_0001,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0002,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0003,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0004,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0005,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0006,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0007,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0008,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0009,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0010,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0011,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0012,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0013,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0014,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0015,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0016,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0017,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0018,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0019,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0020,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0021,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0022,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0023,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0024,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0025,"Family-oriented professional, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0026,"Family-oriented professional, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0027,"Family-oriented professional, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0028,"Family-oriented professional, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0029,"Family-oriented professional, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0030,"Family-oriented professional, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0031,"Quietly ambitious, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0032,"Quietly ambitious, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0033,"Quietly ambitious, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0034,"Quietly ambitious, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0035,"Quietly ambitious, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0036,"Quietly ambitious, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0037,"Kind-hearted creative, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0038,"Kind-hearted creative, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0039,"Kind-hearted creative, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0040,"Kind-hearted creative, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0041,"Kind-hearted creative, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0042,"Kind-hearted creative, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0043,"Active and easygoing, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0044,"Active and easygoing, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0045,"Active and easygoing, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0046,"Active and easygoing, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0047,"Active and easygoing, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0048,"Active and easygoing, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0049,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0050,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0051,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0052,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0053,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0054,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0055,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0056,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0057,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0058,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0059,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0060,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0061,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0062,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0063,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0064,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0065,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0066,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0067,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0068,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0069,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0070,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0071,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0072,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0073,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0074,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0075,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0076,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0077,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0078,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0079,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0080,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0081,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0082,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0083,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0084,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0085,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0086,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0087,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0088,"I work in {occupation} and make time for {interest_one}, {interest_two}, and good conversation. Here to meet someone intentional, kind, and ready for {goal}.",interest_one|interest_two|goal,direct,HeartConnect generated template grammar
bio_0089,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0090,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0091,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0092,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0093,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0094,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0095,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0096,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0097,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0098,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0099,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0100,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0101,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0102,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0103,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0104,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0105,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0106,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0107,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0108,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0109,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0110,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0111,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0112,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0113,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0114,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0115,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0116,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0117,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0118,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0119,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0120,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0121,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0122,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0123,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0124,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0125,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0126,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0127,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
bio_0128,"Usually planning my week around {interest_one}, {travel}, and time with people I care about. I appreciate {value_one}, {value_two}, and relationships that grow with patience.",travel|value_one|value_two,reflective,HeartConnect generated template grammar
